episode,avg_return,max_stage,flag_get,avg_total_reward
625,91.597,1,False,426.0
626,83.177,1,False,638.0
627,99.919,1,True,567.857
628,102.487,1,False,560.0
629,111.318,1,False,570.875
630,113.297,1,False,636.125
631,105.818,1,False,607.429
632,111.46,1,False,728.4
633,109.609,1,False,664.375
634,110.27,1,False,563.75
635,87.032,1,False,358.25
636,103.202,1,False,236.0
637,110.42,1,False,629.4
638,103.523,1,False,585.0
639,95.189,1,False,364.2
640,72.408,1,False,534.5
641,79.684,1,False,399.5
642,47.347,1,False,607.5
643,72.506,1,False,801.333
644,64.011,1,False,300.0
645,62.91,1,False,604.0
646,70.379,1,False,409.333
647,76.152,1,False,737.833
648,73.945,1,False,391.0
649,38.325,1,False,570.0
650,38.366,1,False,25.5
651,23.584,1,False,526.0
652,27.29,1,False,256.5
653,21.604,1,False,617.5
654,38.484,1,False,143.5
655,46.801,1,False,291.6
656,52.805,1,False,390.25
657,35.659,1,False,535.5
658,51.05,1,False,188.25
659,60.358,1,False,437.143
660,64.585,1,False,315.5
661,50.636,1,False,228.8
662,49.109,1,False,168.0
663,41.268,1,False,258.2
664,48.151,1,False,317.0
665,36.096,1,False,543.5
666,49.53,1,False,301.25
667,46.311,1,False,238.25
668,38.161,1,False,198.667
669,57.884,1,False,377.2
670,63.044,1,False,378.375
671,29.914,1,False,157.1
672,25.854,1,False,-4.0
673,18.72,1,False,50.333
674,15.68,1,False,128.0
675,15.303,1,False,188.167
676,13.852,1,False,183.5
677,14.969,1,False,124.0
678,25.313,1,False,327.0
679,23.066,1,False,198.0
680,31.182,1,False,210.0
681,9.818,1,False,389.0
682,2.063,1,False,0
683,-4.322,1,False,0
684,-2.081,1,False,18.0
685,-4.992,1,False,0
686,0.099,1,False,37.0
687,9.329,1,False,201.0
688,32.182,1,False,416.5
689,52.918,1,False,643.2
690,68.678,1,False,483.0
691,77.875,1,False,710.571
692,89.19,1,False,430.714
693,90.199,1,False,710.125
694,104.449,1,False,607.333
695,106.44,1,False,474.0
696,92.589,1,False,501.556
697,105.132,1,False,479.333
698,85.802,1,False,445.833
699,83.445,1,False,621.667
700,86.706,1,False,203.333
701,98.309,1,False,526.833
702,108.721,1,False,479.5
703,87.998,1,False,681.5
704,97.273,1,False,236.0
705,102.25,1,False,412.714
706,103.891,1,False,411.2
707,106.871,1,False,296.5
708,98.832,1,False,291.8
709,120.368,1,False,284.25
710,109.724,1,False,646.778
711,98.402,1,False,803.857
712,111.032,1,False,762.667
713,79.694,1,False,452.5
714,75.159,1,False,370.0
715,88.25,1,False,140.6
716,42.239,1,False,142.579
717,29.184,1,False,119.955
718,20.281,1,False,116.913
719,18.319,1,False,124.593
720,18.128,1,False,125.12
721,14.835,1,False,112.88
722,15.978,1,False,120.677
723,17.27,1,False,125.722
724,17.229,1,False,126.143
725,19.947,1,False,140.439
726,20.027,1,False,139.579
727,20.633,1,False,130.342
728,19.176,1,False,132.949
729,21.974,1,False,140.158
730,24.728,1,False,174.545
731,28.833,1,False,186.28
732,33.808,1,False,164.545
733,36.809,1,False,217.036
734,45.717,1,False,199.722
735,49.011,1,False,194.071
736,41.757,1,False,202.25
737,42.432,1,False,277.833
738,41.873,1,False,341.727
739,32.201,1,False,196.583
740,37.2,1,False,244.667
741,34.52,1,False,297.545
742,34.757,1,False,205.333
743,30.066,1,False,205.0
744,18.849,1,False,206.143
745,26.801,1,False,175.75
746,20.993,1,False,170.833
747,38.725,1,False,234.25
748,39.193,1,False,299.667
749,33.587,1,False,270.6
750,36.572,1,False,217.571
751,37.007,1,False,139.4
752,49.029,1,False,226.75
753,35.486,1,False,248.333
754,38.054,1,False,175.417
755,24.631,1,False,211.778
756,24.043,1,False,136.083
757,34.728,1,False,195.8
758,48.646,1,False,600.0
759,49.57,1,False,390.5
760,48.844,1,False,299.0
761,46.642,1,False,311.6
762,49.441,1,False,211.667
763,47.727,1,False,307.0
764,48.3,1,False,477.0
765,52.386,1,False,175.833
766,55.271,1,False,468.8
767,66.435,1,False,224.667
768,72.619,1,False,381.6
769,79.844,1,False,233.333
770,77.286,1,False,281.6
771,81.356,1,False,335.333
772,78.954,1,False,218.333
773,86.802,1,False,369.333
774,89.871,1,False,486.333
775,87.377,1,False,400.0
776,89.518,1,False,273.6
777,81.606,1,False,502.6
778,94.492,1,False,356.667
779,94.46,1,False,358.143
780,102.002,1,False,421.857
781,74.417,1,False,685.5
782,89.434,1,False,425.0
783,94.019,1,False,273.0
784,86.53,1,False,143.0
785,87.061,1,False,162.2
786,83.507,1,False,313.714
787,92.503,1,False,327.667
788,85.105,1,False,303.143
789,83.038,1,False,166.667
790,93.336,1,False,310.6
791,95.431,1,False,309.0
792,86.64,1,False,283.0
793,84.301,1,False,406.2
794,93.207,1,False,419.25
795,86.38,1,False,581.0
796,90.354,1,False,398.0
797,97.769,1,False,460.0
798,93.71,1,False,488.0
799,94.298,1,False,390.667
800,95.395,1,False,321.8
801,99.311,1,False,249.75
802,96.642,1,False,249.0
803,93.1,1,False,456.833
804,102.995,1,False,352.333
805,99.283,1,False,437.333
806,99.88,1,False,338.5
807,97.87,1,False,318.0
808,90.505,1,False,548.0
809,102.289,1,False,305.167
810,97.783,1,False,466.4
811,95.466,1,False,420.25
812,86.184,1,False,383.0
813,104.276,1,False,140.0
814,97.073,1,False,113.0
815,91.169,1,False,224.4
816,106.04,1,False,283.833
817,91.203,1,False,407.333
818,103.511,1,False,514.667
819,104.894,1,False,347.6
820,93.85,1,False,457.125
821,93.886,1,False,413.0
822,98.375,1,False,302.667
823,91.761,1,False,623.0
824,104.153,1,False,534.667
825,101.074,1,False,633.333
826,102.74,1,False,474.0
827,98.915,1,False,531.429
828,87.375,1,False,497.333
829,74.791,1,False,297.5
830,63.259,1,False,159.0
831,61.655,1,False,376.75
832,79.517,1,False,283.0
833,91.812,1,False,527.333
834,88.421,1,False,669.167
835,101.851,1,False,562.6
836,91.29,1,False,424.5
837,92.369,1,False,458.0
838,97.284,1,False,429.571
839,103.146,1,False,293.75
840,88.6,1,False,434.667
841,95.338,1,False,477.25
842,95.005,1,False,435.5
843,100.0,1,False,421.25
844,100.312,1,False,290.25
845,104.528,1,False,366.143
846,97.874,1,False,311.75
847,104.394,1,False,266.455
848,93.192,1,False,363.6
849,92.886,1,False,529.0
850,94.168,1,False,505.143
851,92.304,1,False,746.0
852,101.153,1,False,319.667
853,97.327,1,False,331.0
854,95.429,1,False,449.0
855,85.669,1,False,358.667
856,99.943,1,False,399.167
857,98.57,1,False,518.833
858,102.238,1,False,620.6
859,104.249,1,False,415.333
860,92.643,1,False,461.0
861,101.05,1,False,130.4
862,101.129,1,False,354.333
863,102.713,1,False,305.333
864,91.845,1,False,518.333
865,93.073,1,False,382.333
866,100.008,1,False,340.5
867,102.562,1,False,393.75
868,97.308,1,False,586.5
869,102.769,1,False,546.143
870,100.213,1,False,778.667
871,107.109,1,False,570.167
872,112.113,1,False,410.0
873,99.857,1,False,443.667
874,114.571,1,False,261.0
875,101.048,1,False,283.0
876,84.385,1,False,435.2
877,92.971,1,False,571.75
878,83.877,1,False,722.0
879,98.957,1,False,390.5
880,78.787,1,False,530.833
881,98.721,1,False,420.0
882,68.727,1,False,567.0
883,93.384,1,False,76.75
884,73.048,1,False,45.5
885,97.311,1,False,259.833
886,103.641,1,False,438.5
887,113.477,1,False,256.0
888,96.131,1,False,312.5
889,96.603,1,False,466.857
890,109.51,1,False,386.333
891,98.307,1,False,612.333
892,107.98,1,False,542.75
893,99.338,1,False,88.667
894,99.782,1,False,369.2
895,107.403,1,False,174.0
896,94.993,1,False,499.667
897,108.006,1,False,273.25
898,85.528,1,False,482.0
899,94.118,1,False,316.333
900,94.622,1,False,531.4
901,102.434,1,False,546.0
902,101.178,1,False,525.6
903,109.268,1,False,402.8
904,109.689,1,False,332.167
905,92.059,1,False,401.5
906,108.507,1,False,378.857
907,101.699,1,False,323.0
908,99.304,1,False,416.2
909,103.881,1,False,420.8
910,100.505,1,False,235.333
911,104.929,1,False,307.0
912,75.792,1,False,34.083
913,65.205,1,False,-27.4
914,45.23,1,False,61.273
915,28.278,1,False,110.667
916,20.557,1,False,162.0
917,17.344,1,False,159.0
918,21.895,1,False,116.75
919,17.708,1,False,375.667
920,20.969,1,False,0
921,13.962,1,False,0
922,9.994,1,False,44.0
923,18.128,1,False,124.0
924,17.55,1,False,147.5
925,16.31,1,False,262.0
926,24.777,1,False,162.625
927,42.185,1,False,233.333
928,62.846,1,False,205.333
929,50.219,1,False,424.667
930,68.025,1,False,384.0
931,75.515,1,False,171.333
932,81.727,1,False,310.375
933,69.668,1,False,626.0
934,70.793,1,False,206.5
935,82.661,1,False,371.143
936,92.068,1,False,402.5
937,89.057,1,False,353.833
938,95.502,1,False,271.0
939,89.383,1,False,286.75
940,89.986,1,False,199.5
941,81.971,1,False,311.0
942,84.93,1,False,144.75
943,68.238,1,False,297.667
944,53.828,1,False,226.0
945,45.489,1,False,238.0
946,33.356,1,False,0
947,38.467,1,False,145.0
948,20.263,1,False,0
949,24.203,1,False,0
950,29.612,1,False,-3.0
951,23.976,1,False,263.0
952,39.834,1,False,39.5
953,30.526,1,False,121.5
954,23.772,1,False,0
955,17.716,1,False,-23.0
956,12.001,1,False,156.5
957,37.031,1,False,443.0
958,34.644,1,False,350.5
959,36.411,1,False,-15.0
